
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T8   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0     |      |      | s5   | s6   | s7   | s8   | s9   | s10  | s11  | s14  | s15  | s16  | s17  | s18  | s19  | s20  | s21  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 1    | 2    | 3    | 4    | 12   | 13   | 22   | 23   | 24   | 25   | 26   | 27   | 28   | 29   | 30   | 31   | 32   | 33   | 34   | 35   | 36   | 37   |      |      |      |      |      |      |      |      |      |      |      |      |      |
1     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s38  |      |      |      |      |      |      |      |      |      |      |      |      | r13  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
2     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s39  | s40  |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
3     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | s41  | s42  |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
4     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
5     |      |      | s47  | s48  | s49  | s50  | s51  | s52  | s53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 43   | 44   | 45   | 46   | 54   | 55   |      |      |      |      |      |      |      |      |      |      |      |      |      | 56   | 57   | 58   |      |      |      |      |      |      |      |      |      |      |      |      |      |
6     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
7     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
8     |      |      | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
9     |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
10    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
