
=== LR(1) Transition Table (1614 entries) ===
  State 0 --( Expr )--> State 1
  State 0 --( Eval )--> State 2
  State 0 --( Term )--> State 3
  State 0 --( Factor )--> State 4
  State 0 --( ( )--> State 5
  State 0 --( integer )--> State 6
  State 0 --( floating )--> State 7
  State 0 --( name )--> State 8
  State 0 --( litstring )--> State 9
  State 0 --( true )--> State 10
  State 0 --( false )--> State 11
  State 0 --( Access )--> State 12
  State 0 --( AccessBase )--> State 13
  State 0 --( if )--> State 14
  State 0 --( while )--> State 15
  State 0 --( for )--> State 16
  State 0 --( init )--> State 17
  State 0 --( proc )--> State 18
  State 0 --( return )--> State 19
  State 0 --( break )--> State 20
  State 0 --( continue )--> State 21
  State 0 --( Program )--> State 22
  State 0 --( CompStat )--> State 23
  State 0 --( UnitStat )--> State 24
  State 0 --( ControlStat )--> State 25
  State 0 --( Stat )--> State 26
  State 0 --( CondStat )--> State 27
  State 0 --( LoopStat )--> State 28
  State 0 --( While )--> State 29
  State 0 --( For )--> State 30
  State 0 --( Declaration )--> State 31
  State 0 --( ProcDeclaration )--> State 32
  State 0 --( Assignment )--> State 33
  State 0 --( Jump )--> State 34
  State 0 --( Identifier )--> State 35
  State 0 --( Relation )--> State 36
  State 0 --( LogAnd )--> State 37
  State 1 --( || )--> State 38
  State 2 --( + )--> State 39
  State 2 --( - )--> State 40
  State 3 --( * )--> State 41
  State 3 --( / )--> State 42
  State 5 --( Expr )--> State 43
  State 5 --( Eval )--> State 44
  State 5 --( Term )--> State 45
  State 5 --( Factor )--> State 46
  State 5 --( ( )--> State 47
  State 5 --( integer )--> State 48
  State 5 --( floating )--> State 49
  State 5 --( name )--> State 50
  State 5 --( litstring )--> State 51
  State 5 --( true )--> State 52
  State 5 --( false )--> State 53
  State 5 --( Access )--> State 54
  State 5 --( AccessBase )--> State 55
  State 5 --( Identifier )--> State 56
  State 5 --( Relation )--> State 57
  State 5 --( LogAnd )--> State 58
  State 12 --( ( )--> State 59
  State 12 --( [ )--> State 60
  State 12 --( . )--> State 61
  State 12 --( = )--> State 62
  State 14 --( ( )--> State 63
  State 15 --( ( )--> State 64
  State 16 --( ( )--> State 65
  State 17 --( int )--> State 66
  State 17 --( bool )--> State 67
  State 17 --( float )--> State 68
  State 17 --( string )--> State 69
  State 17 --( void )--> State 70
  State 17 --( VarType )--> State 71
  State 17 --( Primitive )--> State 72
  State 18 --( name )--> State 73
  State 18 --( Identifier )--> State 74
  State 19 --( Expr )--> State 75
  State 19 --( Eval )--> State 2
  State 19 --( Term )--> State 3
  State 19 --( Factor )--> State 4
  State 19 --( ( )--> State 76
  State 19 --( integer )--> State 6
  State 19 --( floating )--> State 7
  State 19 --( name )--> State 77
  State 19 --( litstring )--> State 9
  State 19 --( true )--> State 10
  State 19 --( false )--> State 11
  State 19 --( Access )--> State 78
  State 19 --( AccessBase )--> State 79
  State 19 --( Identifier )--> State 80
  State 19 --( Relation )--> State 36
  State 19 --( LogAnd )--> State 37
  State 23 --( Expr )--> State 1
  State 23 --( Eval )--> State 2
  State 23 --( Term )--> State 3
  State 23 --( Factor )--> State 4
  State 23 --( ( )--> State 5
  State 23 --( integer )--> State 6
  State 23 --( floating )--> State 7
  State 23 --( name )--> State 8
  State 23 --( litstring )--> State 9
  State 23 --( true )--> State 10
  State 23 --( false )--> State 11
  State 23 --( Access )--> State 12
  State 23 --( AccessBase )--> State 13
  State 23 --( if )--> State 14
  State 23 --( while )--> State 15
  State 23 --( for )--> State 16
  State 23 --( init )--> State 17
  State 23 --( proc )--> State 18
  State 23 --( return )--> State 19
  State 23 --( break )--> State 20
  State 23 --( continue )--> State 21
  State 23 --( UnitStat )--> State 81
  State 23 --( ControlStat )--> State 25
  State 23 --( Stat )--> State 26
  State 23 --( CondStat )--> State 27
  State 23 --( LoopStat )--> State 28
  State 23 --( While )--> State 29
  State 23 --( For )--> State 30
  State 23 --( Declaration )--> State 31
  State 23 --( ProcDeclaration )--> State 32
  State 23 --( Assignment )--> State 33
  State 23 --( Jump )--> State 34
  State 23 --( Identifier )--> State 35
  State 23 --( Relation )--> State 36
  State 23 --( LogAnd )--> State 37
  State 26 --( ; )--> State 82
  State 34 --( ; )--> State 83
  State 36 --( =? )--> State 84
  State 36 --( >= )--> State 85
  State 36 --( <= )--> State 86
  State 36 --( > )--> State 87
  State 36 --( < )--> State 88
  State 36 --( RelOp )--> State 89
  State 37 --( && )--> State 90
  State 38 --( Eval )--> State 2
  State 38 --( Term )--> State 3
  State 38 --( Factor )--> State 4
  State 38 --( ( )--> State 76
  State 38 --( integer )--> State 6
  State 38 --( floating )--> State 7
  State 38 --( name )--> State 77
  State 38 --( litstring )--> State 9
  State 38 --( true )--> State 10
  State 38 --( false )--> State 11
  State 38 --( Access )--> State 78
  State 38 --( AccessBase )--> State 79
  State 38 --( Identifier )--> State 80
  State 38 --( Relation )--> State 36
  State 38 --( LogAnd )--> State 91
  State 39 --( Term )--> State 92
  State 39 --( Factor )--> State 4
  State 39 --( ( )--> State 76
  State 39 --( integer )--> State 6
  State 39 --( floating )--> State 7
  State 39 --( name )--> State 77
  State 39 --( litstring )--> State 9
  State 39 --( true )--> State 10
  State 39 --( false )--> State 11
  State 39 --( Access )--> State 78
  State 39 --( AccessBase )--> State 79
  State 39 --( Identifier )--> State 80
  State 40 --( Term )--> State 93
  State 40 --( Factor )--> State 4
  State 40 --( ( )--> State 76
  State 40 --( integer )--> State 6
  State 40 --( floating )--> State 7
  State 40 --( name )--> State 77
  State 40 --( litstring )--> State 9
  State 40 --( true )--> State 10
  State 40 --( false )--> State 11
  State 40 --( Access )--> State 78
  State 40 --( AccessBase )--> State 79
  State 40 --( Identifier )--> State 80
  State 41 --( Factor )--> State 94
  State 41 --( ( )--> State 76
  State 41 --( integer )--> State 6
  State 41 --( floating )--> State 7
  State 41 --( name )--> State 77
  State 41 --( litstring )--> State 9
  State 41 --( true )--> State 10
  State 41 --( false )--> State 11
  State 41 --( Access )--> State 78
  State 41 --( AccessBase )--> State 79
  State 41 --( Identifier )--> State 80
  State 42 --( Factor )--> State 95
  State 42 --( ( )--> State 76
  State 42 --( integer )--> State 6
  State 42 --( floating )--> State 7
  State 42 --( name )--> State 77
  State 42 --( litstring )--> State 9
  State 42 --( true )--> State 10
  State 42 --( false )--> State 11
  State 42 --( Access )--> State 78
  State 42 --( AccessBase )--> State 79
  State 42 --( Identifier )--> State 80
  State 43 --( ) )--> State 96
  State 43 --( || )--> State 97
  State 44 --( + )--> State 98
  State 44 --( - )--> State 99
  State 45 --( * )--> State 100
  State 45 --( / )--> State 101
  State 47 --( Expr )--> State 102
  State 47 --( Eval )--> State 44
  State 47 --( Term )--> State 45
  State 47 --( Factor )--> State 46
  State 47 --( ( )--> State 47
  State 47 --( integer )--> State 48
  State 47 --( floating )--> State 49
  State 47 --( name )--> State 50
  State 47 --( litstring )--> State 51
  State 47 --( true )--> State 52
  State 47 --( false )--> State 53
  State 47 --( Access )--> State 54
  State 47 --( AccessBase )--> State 55
  State 47 --( Identifier )--> State 56
  State 47 --( Relation )--> State 57
  State 47 --( LogAnd )--> State 58
  State 54 --( ( )--> State 103
  State 54 --( [ )--> State 104
